,Treatment,imagingType,imageFileName,zone,CV,Iso,Contrast,Correlation,Energy,Homogeneity,Entropy,Std,Mean,Range
95,CS,Dsg3,40X Dsg3 CS - 04.tif,zone 3,NA,NA,0.904661146821753,0.620434165364201,0.112673753764733,0.704120294017617,3.90718629766155,0.133148482278256,0.332152372886016,0.960809381533935
96,CS,Dsg3,40X Dsg3 CS - 04.tif,zone 4,NA,NA,0.933544383226202,0.664031495502311,0.0963840586939092,0.700951647256597,4.05772651575978,0.144187349150575,0.334936455032825,0.976630294824791
97,CS,Dsg3,40X Dsg3 CS - 05.tif,zone 1,NA,NA,0.820210917253341,0.687417567730866,0.113787100565429,0.716509713974764,3.9899674784555,0.13914799226417,0.293059553124985,0.980563175442469
98,CS,Dsg3,40X Dsg3 CS - 05.tif,zone 2,NA,NA,0.856373614937251,0.63161988592461,0.111700715277357,0.712401475529708,3.93040863936401,0.130250931017677,0.301601281080557,0.975819813429439
99,CS,Dsg3,40X Dsg3 CS - 05.tif,zone 3,NA,NA,0.910636394245485,0.589729376518448,0.115808400851316,0.704071734516886,3.69472004165054,0.128098810829013,0.287840574199607,0.990918245862406
100,CS,Dsg3,40X Dsg3 CS - 05.tif,zone 4,NA,NA,0.97034415875931,0.571198483788913,0.109047505123028,0.695310752352773,3.68124286388473,0.128366002405089,0.296568367675108,0.9782945130646
101,CS,E-cad,40X E-cad CS - 01.tif,zone 1,NA,NA,0.300693623099684,0.874044715552753,0.209933319964378,0.863185669829609,5.69577820986146,0.135476491122344,0.238991441086656,0.952345471641111
102,CS,E-cad,40X E-cad CS - 01.tif,zone 2,NA,NA,0.319747107438017,0.889301879417524,0.206222525570895,0.857593106995885,5.70925421166925,0.145345623591422,0.228180678790793,0.961201180396154
103,CS,E-cad,40X E-cad CS - 01.tif,zone 3,NA,NA,0.321325272931334,0.868581089021359,0.192496399074034,0.853503683807775,5.66259926444398,0.1341165069031,0.249317418365232,0.957610050360355
104,CS,E-cad,40X E-cad CS - 01.tif,zone 4,NA,NA,0.295969737781859,0.881129101925216,0.215642837094321,0.865576845559977,5.58949708469155,0.134513090483069,0.222766146525142,0.963998570808859
105,CS,E-cad,40X E-cad CS - 02.tif,zone 1,NA,NA,0.319336751351903,0.873865099766734,0.208707506137226,0.856997882018842,5.61455154293331,0.139982750903809,0.24306065969503,0.952049229553254
106,CS,E-cad,40X E-cad CS - 02.tif,zone 2,NA,NA,0.320291113151719,0.882264482484305,0.211927359591974,0.858456860354386,5.60055127845205,0.146766647963758,0.253604238124574,0.963099004485534
107,CS,E-cad,40X E-cad CS - 02.tif,zone 3,NA,NA,0.328164207733905,0.857237145864591,0.226812751902035,0.853136349862259,5.28176587572133,0.132493975409083,0.230926353791934,0.959403506761665
108,CS,E-cad,40X E-cad CS - 02.tif,zone 4,NA,NA,0.283452392612999,0.893481861757311,0.244958402372971,0.8737203147638,5.65851067157861,0.143557498962694,0.211377023155821,0.964812291556118
109,CS,E-cad,40X E-cad CS - 03.tif,zone 1,NA,NA,0.282728088970513,0.894464430202146,0.204806457438991,0.86948743580587,5.81769945637635,0.142501298018165,0.249087273435118,0.9558342958286
110,CS,E-cad,40X E-cad CS - 03.tif,zone 2,NA,NA,0.291440220385675,0.878448963274677,0.243954659055673,0.867004535251505,5.47217486099144,0.136401432523172,0.228954783717485,0.949373315692477
111,CS,E-cad,40X E-cad CS - 03.tif,zone 3,NA,NA,0.305227895112744,0.877926732668294,0.207594415424768,0.861005011053294,5.69952794438455,0.142391966877931,0.246422635621408,0.954146886874241
112,CS,E-cad,40X E-cad CS - 03.tif,zone 4,NA,NA,0.315539873482298,0.875669595396488,0.193380735750844,0.855753342346019,5.81572486136245,0.138729485092952,0.265583742388694,0.948693939918019
