"","antibodyName","doseLevel","treatmentTime","imagingType","imageFileName","zone","CV","Iso","ContrastN","CorrelationN","EnergyN","HomogeneityN","EntropyN","StdN","MeanN","RangeN"
"1","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -01-Image Export-16.tif","zone 1",NA,NA,0.31122662576175,0.948703837039256,0.394132601425666,0.897536333452369,4.78187040352693,0.239423914006102,0.212762358995911,0.997607655502392
"2","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -01-Image Export-16.tif","zone 2",NA,NA,0.290631004355087,0.927917267072462,0.424362966050081,0.901700238058159,4.51695828744139,0.202885866262225,0.17435414652605,0.99792243767313
"3","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -01-Image Export-16.tif","zone 3",NA,NA,0.287919232731354,0.952540850742413,0.412539896296982,0.904474451076421,4.70807005474876,0.230547281371601,0.182431736842104,0.996842105263158
"4","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -01-Image Export-16.tif","zone 4",NA,NA,0.289027568615447,0.938392271425053,0.433078464000262,0.907007962379932,4.553973000517,0.218945562513762,0.187199391579556,0.996842105263158
"5","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -02-Image Export-17.tif","zone 1",NA,NA,0.340278706254464,0.932316094075856,0.369735948254194,0.882937266775499,4.75222251559434,0.210164789486534,0.214789443700158,0.98877384370016
"6","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -02-Image Export-17.tif","zone 2",NA,NA,0.356123811770908,0.934876768240022,0.375915925164551,0.885479036471619,4.73316478295309,0.209681606938677,0.208292740967461,0.993421052631579
"7","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -02-Image Export-17.tif","zone 3",NA,NA,0.379832234380845,0.935080862216831,0.301118291134976,0.870637091159713,5.0695246066778,0.220823436130949,0.234504241032451,0.989027777777778
"8","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -02-Image Export-17.tif","zone 4",NA,NA,0.352052044009115,0.943458044564022,0.320765827604108,0.882237886369305,5.03533507505032,0.243621909155943,0.231974698224911,0.99671052631579
"9","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -03-Image Export-18.tif","zone 1",NA,NA,0.301573007392567,0.920940500441348,0.387329195280034,0.893867435284676,4.45015067493521,0.195788063589781,0.192243478052784,0.998803827751196
"10","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -03-Image Export-18.tif","zone 2",NA,NA,0.330667629578614,0.948208223911966,0.367089625036197,0.892321166561802,4.86694159227256,0.232302036224581,0.210344820874649,0.995614035087719
"11","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -03-Image Export-18.tif","zone 3",NA,NA,0.337622404601571,0.941051835818471,0.355387946437063,0.886474847910927,4.74781864529036,0.230570349990908,0.208823191599917,0.998888691322902
"12","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -03-Image Export-18.tif","zone 4",NA,NA,0.339233445566779,0.936393038663018,0.410359353121605,0.894379540085803,4.70359288184009,0.224902618814636,0.206593533834586,0.996733500417711
"13","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -04-Image Export-19.tif","zone 1",NA,NA,0.298496278319511,0.95244882241771,0.374466326339043,0.896617598573286,4.84902966443669,0.228953474368459,0.197937194012428,0.99182888728671
"14","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -04-Image Export-19.tif","zone 2",NA,NA,0.33032151268578,0.940544214000075,0.387806220537877,0.892353965996748,4.69674120298498,0.217630388696985,0.197828370098874,0.994495013217977
"15","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -04-Image Export-19.tif","zone 3",NA,NA,0.325813713736693,0.940071040772803,0.346955625655969,0.886682129232845,4.78122771818154,0.235678991071445,0.231936326954658,0.993375991348234
"16","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -04-Image Export-19.tif","zone 4",NA,NA,0.280195439240894,0.921664817431958,0.451043386727378,0.905306198590037,4.28753711520635,0.197924530539217,0.170542367525334,0.99671052631579
"17","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -05-Image Export-20.tif","zone 1",NA,NA,0.310333983222652,0.946996377272351,0.371016709473984,0.894932900591333,4.84694510256501,0.228513273927032,0.198300266971776,0.994851258581236
"18","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -05-Image Export-20.tif","zone 2",NA,NA,0.320936756028296,0.945216602353549,0.384473124092407,0.89355594932915,4.79543719839428,0.223068411690052,0.195294943226963,0.994969613898783
"19","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -05-Image Export-20.tif","zone 3",NA,NA,0.31501666496616,0.941971947370507,0.375765930851504,0.892505812974826,4.79907903143765,0.212576710775778,0.194702252078279,0.994942551357025
"20","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -05-Image Export-20.tif","zone 4",NA,NA,0.339300214263851,0.93925567088762,0.395398854476582,0.890052739394911,4.76051977597337,0.214142924852347,0.199547625364311,0.99524893314367
"21","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -06-Image Export-21.tif","zone 1",NA,NA,0.309762565044383,0.945588798016391,0.367915981904203,0.895158520267611,4.83358196708907,0.237967651498983,0.21304909090909,0.99578947368421
"22","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -06-Image Export-21.tif","zone 2",NA,NA,0.39203315544554,0.941234286141794,0.310890494499868,0.871915054142656,5.07135559240163,0.234068026628749,0.239478062547673,0.993699466056446
"23","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -06-Image Export-21.tif","zone 3",NA,NA,0.31149757167636,0.9466408997646,0.411862663720157,0.897161844563966,4.69720424464173,0.219164130199707,0.209002949568515,0.991578947368421
"24","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -06-Image Export-21.tif","zone 4",NA,NA,0.348648239975513,0.942872499791069,0.338526823230543,0.8816766803436,4.93480114331688,0.227268968705396,0.217041035808439,0.987887719298246
"25","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -07-Image Export-22.tif","zone 1",NA,NA,0.32236794204673,0.945754257423852,0.360991352426329,0.887151466735659,4.88109816817849,0.218338547477673,0.224968804699527,0.989420289855073
"26","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -07-Image Export-22.tif","zone 2",NA,NA,0.295660218345067,0.935529234949978,0.401816918249483,0.896806856807614,4.67918544928326,0.197336668647312,0.193090914385964,0.993143859649123
"27","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -07-Image Export-22.tif","zone 3",NA,NA,0.324911947760433,0.933123168453487,0.337952533748709,0.882896386423154,4.78090201500679,0.252335643779888,0.232062683507029,0.995816464237517
"28","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -07-Image Export-22.tif","zone 4",NA,NA,0.336261594364211,0.92132582518015,0.36759594278202,0.886467656858497,4.69310306507468,0.198750877800732,0.19424172779529,0.996993404888142
"29","AK23","10ug","24h","Dsg3","63X-Dsg3-AK-10-24h -08-Image Export-23.tif","zone 1",NA,NA,0.354263075196409,0.934149829040996,0.341250029690353,0.87945035778662,4.91584891969071,0.213593174748292,0.218100404804318,0.990512280701754
